label,filename,split
1,0_pos.csv,train
1,1_pos.csv,train
1,2_pos.csv,train
1,3_pos.csv,train
1,4_pos.csv,train
1,5_pos.csv,train
1,6_pos.csv,train
1,7_pos.csv,train
1,8_pos.csv,train
1,9_pos.csv,train
1,10_pos.csv,train
1,11_pos.csv,train
1,12_pos.csv,train
1,13_pos.csv,train
1,14_pos.csv,train
1,15_pos.csv,train
1,16_pos.csv,train
1,17_pos.csv,train
1,18_pos.csv,train
1,19_pos.csv,train
1,20_pos.csv,train
1,21_pos.csv,train
1,22_pos.csv,train
1,23_pos.csv,train
1,24_pos.csv,train
1,25_pos.csv,train
1,26_pos.csv,train
1,27_pos.csv,train
1,28_pos.csv,train
1,29_pos.csv,train
1,30_pos.csv,train
1,31_pos.csv,train
1,32_pos.csv,train
1,33_pos.csv,train
1,34_pos.csv,train
1,35_pos.csv,train
1,36_pos.csv,train
1,37_pos.csv,train
1,38_pos.csv,train
1,39_pos.csv,train
1,40_pos.csv,train
1,41_pos.csv,train
1,42_pos.csv,train
1,43_pos.csv,train
1,44_pos.csv,train
1,45_pos.csv,train
1,46_pos.csv,train
1,47_pos.csv,train
1,48_pos.csv,train
1,49_pos.csv,train
0,0_neg.csv,train
0,1_neg.csv,train
0,2_neg.csv,train
0,3_neg.csv,train
0,4_neg.csv,train
0,5_neg.csv,train
0,6_neg.csv,train
0,7_neg.csv,train
0,8_neg.csv,train
0,9_neg.csv,train
0,10_neg.csv,train
0,11_neg.csv,train
0,12_neg.csv,train
0,13_neg.csv,train
0,14_neg.csv,train
0,15_neg.csv,train
0,16_neg.csv,train
0,17_neg.csv,train
0,18_neg.csv,train
0,19_neg.csv,train
0,20_neg.csv,train
0,21_neg.csv,train
0,22_neg.csv,train
0,23_neg.csv,train
0,24_neg.csv,train
0,25_neg.csv,train
0,26_neg.csv,train
0,27_neg.csv,train
0,28_neg.csv,train
0,29_neg.csv,train
0,30_neg.csv,train
0,31_neg.csv,train
0,32_neg.csv,train
0,33_neg.csv,train
0,34_neg.csv,train
0,35_neg.csv,train
0,36_neg.csv,train
0,37_neg.csv,train
0,38_neg.csv,train
0,39_neg.csv,train
0,40_neg.csv,train
0,41_neg.csv,train
0,42_neg.csv,train
0,43_neg.csv,train
0,44_neg.csv,train
0,45_neg.csv,train
0,46_neg.csv,train
0,47_neg.csv,train
0,48_neg.csv,train
0,49_neg.csv,train
